Species,18416_Hungary_QG_DSL,18416_Hungary_PB_DSL,18416_Hungary_PB_SSL,18416_Hungary_QG_SSL,18421_Hungary_QG_DSL,18421_Hungary_PB_DSL,18421_Hungary_PB_SSL,18421_Hungary_QG_SSL,18427_Hungary_QG_DSL,18427_Hungary_PB_DSL,18427_Hungary_PB_SSL,18427_Hungary_QG_SSL
Abiotrophia defectiva,0,0,0,0,0,0,0,0,0,0.00638622,0.012177275,0.007163005
Abiotrophia sp. HMSC24B09,0,0,0,0,0,0,0,0,0.001765353,0.011183208,0.014869601,0.00929994
Actinomyces dentalis,0.055142569,0.02917501,0.014125105,0.030633504,0.071475109,0.092192105,0.060079077,0.051701019,0.034089934,0.02122759,0.007860891,0.014548252
Actinomyces gerencseriae,0.002590875,0,0,0,0.002164372,0.002968913,0,0,0,0,0,0
Actinomyces glycerinitolerans,0,0,0,0,0.00215916,0.001956193,0,0,0,0.002087239,0,0
Actinomyces israelii,0,0,0,0,0.00135257,0.00143685,0,0,0,0,0,0
Actinomyces naeslundii,0.002106115,0,0,0,0.001257447,0,0,0,0,0.015416276,0.006606224,0
Actinomyces oris,0.030871649,0.015532881,0.009916165,0.026542984,0.002280344,0,0,0,0.003222424,0.025848811,0.013041136,0
Actinomyces provencensis,0.001889621,0,0,0,0.001454208,0,0,0,0,0,0,0
Actinomyces radicidentis,0,0,0,0,0,0,0,0,0.001820612,0.009004423,0,0
Actinomyces sp. oral taxon 414,0.147397477,0.067269261,0.031932754,0.076529526,0.19641582,0.224248142,0.142957567,0.138054563,0.096207398,0.063558267,0.022817121,0.039011881
Aggregatibacter aphrophilus,0,0,0,0,0,0,0,0,0,0.079150311,0.110393147,0.05735533
Aggregatibacter segnis,0,0,0,0,0,0,0,0,0.004682404,0.006034685,0.00847265,0.007111719
Aminomonas paucivorans,0,0.001930641,0,0,0,0.00218557,0,0,0,0,0,0
Anaerolineaceae bacterium oral taxon 439,0.242323269,0.294039746,0.190180249,0.145802014,0.322001543,0.313436712,0.28012493,0.281856314,0.100530624,0.010952513,0.005472741,0.037387811
Bacteroidetes oral taxon 274,0.002828548,0.004898402,0.008732608,0.010225698,0.00363552,0.002765503,0.005933385,0.011451401,0.016455304,0.019876377,0.024180318,0.027609197
Berryella intestinalis,0,0,0,0,0.002039279,0.001990816,0,0,0,0,0,0
Campylobacter gracilis,0,0.002441223,0,0,0,0,0,0,0.002684384,0.001885839,0,0
Capnocytophaga granulosa,0,0,0,0,0,0,0,0,0,0.004833607,0.00897734,0.006718523
Capnocytophaga sp. ChDC OS43,0,0,0,0,0,0,0,0,0,0.006682828,0.016083386,0.008564835
Capnocytophaga sp. oral taxon 329,0,0,0,0,0,0,0,0,0,0.005104582,0.010773197,0.006838191
Cardiobacterium valvarum,0,0,0,0,0,0,0,0,0.006508832,0.007609269,0,0
Catonella morbi,0.001840204,0,0,0.00451516,0.001537604,0.001722489,0,0.003650847,0.005021224,0.002446098,0.005226967,0.006650141
Chlorobium limicola,0,0,0,0,0,0,0,0,0.005070665,0.007957142,0,0
Conexibacter woesei,0.004355776,0.004395797,0,0,0,0,0,0,0,0,0,0
Corynebacterium matruchotii,0,0,0,0,0,0,0,0,0.004983415,0.02221262,0.016636744,0.011830071
Desulfobulbus elongatus,0,0,0,0,0.001327812,0,0,0,0.002277219,0,0,0
Desulfobulbus propionicus,0,0,0,0,0.001992369,0.001583997,0,0,0.00302175,0,0,0
Desulfomicrobium orale,0.025948752,0,0,0.034141099,0.013401909,0.097904882,0.116959871,0.025059555,0.009552394,0.011318696,0.006976589,0.009864091
Eggerthia catenaformis,0.002362614,0.004323997,0.008181833,0.003859319,0.00201843,0.004293239,0.008606383,0.003340693,0,0,0,0
Eikenella corrodens,0,0,0,0,0,0,0,0,0,0.008671198,0.006241699,0
Eubacterium brachy,0,0.003175186,0.007347359,0.003606021,0,0.001865308,0.004530039,0,0.001733362,0,0,0
Eubacterium infirmum,0.001757841,0,0,0,0,0.001999472,0.004059957,0,0.001816249,0,0,0
Eubacterium saphenum,0.028709057,0.040671097,0.056824012,0.03664354,0.017346253,0.019358524,0.033742405,0.024505887,0.004174901,0,0,0
Filifactor alocis,0.005661803,0.019186738,0.050171494,0.015213706,0.002568319,0.005163139,0.018605762,0.009219291,0.002233594,0,0,0
Fretibacterium fastidiosum,0.030313941,0.076978308,0.043072371,0.026130799,0.026917183,0.067367492,0.051193232,0.028990038,0.022660216,0.009788054,0,0.008342593
Johnsonella ignava,0.011563632,0.006246659,0.008733716,0.009436278,0.009656932,0.004353829,0.008313121,0.009063591,0.003283499,0,0,0.005282503
Lachnospiraceae bacterium oral taxon 500,0,0,0,0,0,0,0,0,0.001822066,0.001966399,0,0
Lautropia mirabilis,0.001979042,0,0,0,0,0,0,0,0.015943439,0.109851037,0.048425851,0.031387298
Leptotrichia buccalis,0,0,0,0,0,0,0,0.003088459,0,0.001973723,0.006371156,0.007043337
Leptotrichia sp. oral taxon 212,0,0,0,0,0,0,0,0,0,0.013270448,0.040817062,0.022548936
Methanobrevibacter millerae,0,0,0,0,0,0,0,0,0.008825313,0,0,0.006205659
Methanobrevibacter oralis,0.003165056,0.002513024,0,0.005406822,0.001662697,0.001796063,0.007255652,0.005425823,0.035413222,0,0,0.026668946
Methanobrevibacter smithii,0,0,0,0,0,0,0,0,0.014723396,0,0,0.007812634
Methanobrevibacter sp. YE315,0.00391808,0.002728426,0,0.004343617,0.001825578,0.001592653,0.005260607,0.003868826,0.012143712,0,0,0.005521839
Neisseria elongata,0,0,0,0,0,0,0,0,0.002991212,0.051994229,0.037918382,0.021933499
Neisseria meningitidis,0,0,0,0,0,0,0,0,0,0.019081761,0.016783722,0.009214463
Neisseria sicca,0,0,0,0,0,0,0,0,0,0.014537438,0.029328929,0
Olsenella sp. oral taxon 807,0.081321934,0.096013467,0.055074166,0.064803328,0.221915281,0.039154163,0.033281811,0.223744827,0.151097675,0.048588733,0.023884902,0.062261732
Ottowia sp. oral taxon 894,0,0,0,0,0,0,0,0,0.010206767,0.051042155,0.025866671,0.01678776
Parvimonas micra,0.022781343,0.018365019,0.05392718,0.08525633,0.001601453,0.003375732,0.01734646,0.006313934,0.00389861,0,0,0.006633046
Peptoanaerobacter stomatis,0.001859029,0.003598012,0.008373552,0,0,0,0,0,0,0,0,0
Peptoniphilus sp. oral taxon 386,0.002572049,0.005121782,0.010429261,0.004840368,0,0.001471473,0.004562815,0,0.001894774,0,0,0
Peptostreptococcaceae bacterium oral taxon 113,0.107404819,0.233184679,0.381037607,0.186489272,0.048249477,0.058841605,0.143852016,0.111004543,0.010102068,0,0,0.016360373
Porphyromonas gingivalis,0,0.004308041,0.007478127,0,0,0.001393571,0,0,0.002224869,0.002599895,0,0
Prevotella sp. oral taxon 472,0,0,0,0,0,0,0,0,0,0.004921491,0.008293064,0.006154372
Propionibacterium freudenreichii,0,0,0,0,0,0.001904259,0,0,0.003569969,0,0,0
Propionibacterium sp. oral taxon 192,0,0,0,0,0,0.002830421,0,0,0.005899538,0.004807974,0,0
Schaalia cardiffensis,0.039451422,0.018221417,0.008267165,0.020358794,0.009294683,0.004942418,0,0.005248948,0.012569782,0.002870869,0,0
Schaalia georgiae,0.004529913,0,0,0,0.001265265,0,0,0,0,0,0,0
Schaalia meyeri,0.008022064,0.004874468,0,0.005405818,0.003097359,0.009019263,0.009837222,0.003726828,0,0,0,0
Schaalia odontolytica,0.002188477,0,0,0,0.001327812,0,0,0,0.004004764,0.009703832,0,0
Selenomonas sputigena,0.001950804,0,0,0,0.002161766,0,0,0,0.011983754,0.005833285,0,0.005521839
Slackia exigua,0.002103762,0.00394106,0,0,0.002027552,0.00206439,0,0,0,0,0,0
Streptococcus anginosus,0.003238005,0.002568869,0,0.007689511,0,0,0,0,0,0,0,0
Streptococcus constellatus,0.004525206,0.003326765,0,0.007310469,0,0,0,0,0,0,0,0
Streptococcus cristatus,0.004287533,0,0,0.007841971,0,0,0,0,0.013366663,0.008246426,0.011989902,0.019796564
Streptococcus gordonii,0,0,0,0,0,0,0,0,0.002906871,0.00451869,0.010843766,0.0098299
Streptococcus intermedius,0.005426482,0,0,0.011796904,0,0,0,0,0,0,0,0
Streptococcus oralis,0.002047285,0,0,0.00692741,0,0,0,0,0.01620228,0.026753281,0.049989561,0.0423455
Streptococcus pneumoniae,0,0,0,0,0,0,0,0,0.003299495,0.002420465,0.005581758,0.006752714
Streptococcus sanguinis,0.011323605,0,0,0.01749539,0.002508379,0,0,0.004102376,0.032113727,0.120884111,0.221976231,0.145003846
Streptococcus sp. DD04,0.082689144,0,0,0.120690431,0.006373236,0.005877236,0.011135339,0.011828195,0.24804815,0.111011835,0.145566642,0.227934011
Tannerella forsythia,0,0.013131547,0.022510846,0.004714423,0.001736971,0.002077374,0,0.004720815,0.015312332,0.012995811,0.012604582,0.018480212
Treponema denticola,0.003605105,0.006829043,0.016130945,0.011847724,0.005703467,0.007171266,0.021805771,0.019051415,0.011596947,0.003870547,0.006950795,0.014223438
Treponema maltophilum,0,0.003805436,0,0,0.002345497,0.003211273,0.004845727,0.004274268,0.007445313,0.00431729,0,0
Treponema socranskii,0.001946098,0.007204002,0.007553484,0.00350177,0.003901343,0.004483664,0.00571085,0.006707543,0.006597536,0.002702426,0,0
